axis,left_entry,right_entry,left_value,right_value,fixed_coordinate_1,fixed_coordinate_2,delta_ms,Delta_ms,b_s_mm2,correlation
k_io,10,11,0.0,20.0,10055.49956905404,80.79142358080031,5.0,15.0,0.0,
k_io,10,11,0.0,20.0,10055.49956905404,80.79142358080031,5.0,15.0,500.0,0.8552581923872231
k_io,10,11,0.0,20.0,10055.49956905404,80.79142358080031,5.0,15.0,1000.0,0.8864214562911452
k_io,10,11,0.0,20.0,10055.49956905404,80.79142358080031,5.0,15.0,1500.0,0.8642926820694464
k_io,10,11,0.0,20.0,10055.49956905404,80.79142358080031,5.0,15.0,2000.0,0.7996372366581401
k_io,10,11,0.0,20.0,10055.49956905404,80.79142358080031,5.0,15.0,2500.0,0.7115063903709139
k_io,10,11,0.0,20.0,10055.49956905404,80.79142358080031,5.0,15.0,3000.0,0.606441418251998
k_io,10,11,0.0,20.0,10055.49956905404,80.79142358080031,5.0,15.0,3500.0,0.49984537960068526
k_io,10,11,0.0,20.0,10055.49956905404,80.79142358080031,5.0,15.0,4000.0,0.4682190823872943
k_io,10,11,0.0,20.0,10055.49956905404,80.79142358080031,5.0,15.0,4500.0,0.6137167960994117
k_io,10,11,0.0,20.0,10055.49956905404,80.79142358080031,5.0,15.0,5000.0,0.7902956920833216
k_io,10,11,0.0,20.0,10055.49956905404,80.79142358080031,5.0,15.0,5500.0,0.8077548659953345
k_io,10,11,0.0,20.0,10055.49956905404,80.79142358080031,5.0,15.0,6000.0,0.690504360372988
k_io,10,11,0.0,20.0,10055.49956905404,80.79142358080031,5.0,15.0,6500.0,0.4679490664747713
k_io,10,11,0.0,20.0,10055.49956905404,80.79142358080031,5.0,15.0,7000.0,0.17752080275340956
k_io,10,11,0.0,20.0,10055.49956905404,80.79142358080031,5.0,15.0,7500.0,-0.11573837180491647
k_io,10,11,0.0,20.0,10055.49956905404,80.79142358080031,5.0,15.0,8000.0,-0.36393895943798654
k_io,10,11,0.0,20.0,10055.49956905404,80.79142358080031,5.0,15.0,8500.0,-0.5441191064849522
k_io,10,11,0.0,20.0,10055.49956905404,80.79142358080031,5.0,15.0,9000.0,-0.6206063192821774
