configuration,n_ensembles,n_walkers,axis_walks,delta_ms,Delta_ms,b_s_mm2,n_cellular_entries,se_min,se_q05,se_q25,se_median,se_q75,se_q95,se_max,se_mean
"20 x 200,000",20,200000,12000000,10.0,30.0,8500.0,24,0.00012527542021097989,0.00015021705115337054,0.00017958030099689504,0.000203951924875387,0.0002433936712159249,0.00026241924164673746,0.00028424814717083977,0.00020734322030837573
"20 x 200,000",20,200000,12000000,10.0,30.0,9000.0,24,0.0001158472710059677,0.0001415932905032606,0.000190136474522409,0.00021058907196230071,0.00024191368610768018,0.00025966293047281395,0.000286875662106849,0.00020857226302790343
"20 x 200,000",20,200000,12000000,10.0,30.0,9500.0,24,0.00010079115700635593,0.00012804970186718366,0.00019382252836372486,0.00021375492288987517,0.0002392589938658088,0.00026498326784736397,0.0002856761947427919,0.00021021887105012862
"20 x 200,000",20,200000,12000000,10.0,30.0,10000.0,24,8.016457485168709e-05,0.00011355324922172048,0.00019315661161680637,0.0002093676771084435,0.00025679409050539546,0.0002752628461175337,0.0002807672251285784,0.0002116968519145512
"20 x 200,000",20,200000,12000000,10.0,30.0,10500.0,24,6.527975682454178e-05,0.00010170246020580704,0.00018682990045597984,0.00020611879839917032,0.000261007184487155,0.0002840793797437651,0.00028597377484467087,0.00021314803620126987
"20 x 200,000",20,200000,12000000,10.0,30.0,11000.0,24,7.77572949084779e-05,9.278339563301426e-05,0.00017905558106600517,0.00021188604141904153,0.00026480709760714365,0.000784665038057509,0.002157272822763472,0.00033148622274188974
"20 x 200,000",20,200000,12000000,10.0,30.0,11500.0,24,8.572764132074744e-05,0.00011482073468988383,0.0001779015707868973,0.00022214802908319102,0.00025953583365003434,0.001208644473699184,0.0031102719329689573,0.0004291066409174052
"20 x 200,000",20,200000,12000000,10.0,30.0,12000.0,24,8.911007919481434e-05,0.000125220544808434,0.00017802431024498415,0.00023112713590605984,0.00026511331696190673,0.0015681739543497077,0.0037297422736494376,0.000436108457801992
"20 x 200,000",20,200000,12000000,12.0,36.0,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"20 x 200,000",20,200000,12000000,12.0,36.0,500.0,24,9.628584142562867e-05,0.0001245821109249645,0.00014413446440725934,0.00016645148393429777,0.00017891505982499834,0.0002124684541947044,0.00023874393474154578,0.00016494895771582398
"20 x 200,000",20,200000,12000000,12.0,36.0,1000.0,24,0.00011590599875604176,0.00015315696217088525,0.00019728712387234013,0.00022222084228088344,0.00023036583089659448,0.00028227011343795954,0.0002835727252995759,0.0002146546622254866
"20 x 200,000",20,200000,12000000,12.0,36.0,1500.0,24,0.00016162825047070711,0.00016666073457514882,0.00020792580346305488,0.00024224817309952156,0.0002623814391129226,0.00027317905508203157,0.0026105366993337178,0.0003305706556545505
"20 x 200,000",20,200000,12000000,12.0,36.0,2000.0,24,0.00013545639497631888,0.00014013591995034282,0.00019823018359022948,0.0002461859178327726,0.00028033121623350146,0.0004500358588973555,0.0032962187190381186,0.0003657140642397503
"20 x 200,000",20,200000,12000000,12.0,36.0,2500.0,24,8.889180670308301e-05,0.00012766596627988272,0.0001959549722015225,0.00021426391534668275,0.000270767773722581,0.002105928448667569,0.0033048016991171223,0.000493874008777155
"20 x 200,000",20,200000,12000000,12.0,36.0,3000.0,24,0.0001217891851019935,0.0001406215065968257,0.00016698733966024105,0.00020528057075072355,0.00025796614351159377,0.0028353603840012595,0.0028517608503374203,0.0005274863028966612
"20 x 200,000",20,200000,12000000,12.0,36.0,3500.0,24,0.00012579090276842937,0.00014824025537602786,0.00018054229018585693,0.0001992371912075957,0.00024287778563400128,0.002867353903460403,0.0031337042415465035,0.0005150136031032861
"20 x 200,000",20,200000,12000000,12.0,36.0,4000.0,24,0.00011424294399451092,0.00014779294636613774,0.00018017879544177427,0.00020455343539285377,0.0002429490739638244,0.0025471851029302173,0.0029128217254425445,0.00045499898180690994
"20 x 200,000",20,200000,12000000,12.0,36.0,4500.0,24,0.0001236592977035916,0.0001423399712012203,0.0001849048673955839,0.00021179227469723757,0.00026187535806635766,0.0017828763873170836,0.0021920476313144824,0.00039521048366956925
