rho_cells_per_uL,V_pL,v_i,median_profiled_sloppy_angle_deg,k_io_nodes_with_a_profiled_block,median_log10_condition_number,k_io_nodes_identifiable
299358,2.45166,0.733925,2.1218,49,2.5934,45
334048,1.52985,0.511046,1.0942,49,2.3462,48
334048,1.79028,0.598040,1.1308,49,2.3989,47
334048,2.09503,0.699843,2.0632,49,2.4559,47
334048,2.45166,0.818975,4.0419,49,2.6758,45
372759,1.30731,0.487313,0.6785,49,2.3493,49
372759,1.52985,0.570268,0.8664,49,2.3346,46
372759,1.79028,0.667343,1.0564,49,2.4212,48
372759,2.09503,0.780943,2.1211,49,2.5159,46
415956,1.30731,0.543785,0.6440,49,2.3315,47
415956,1.52985,0.636353,1.0978,49,2.3845,48
415956,1.79028,0.744677,1.5349,49,2.5054,47
464159,1.11714,0.518533,0.5083,49,2.2892,49
464159,1.30731,0.606801,0.7024,49,2.3290,49
464159,1.52985,0.710096,1.3985,49,2.3884,47
464159,1.79028,0.830973,3.0730,49,2.5611,46
517947,0.954639,0.494453,0.5410,49,2.2482,49
517947,1.11714,0.578622,0.5646,49,2.2870,49
517947,1.30731,0.677120,0.9315,49,2.3202,49
517947,1.52985,0.792384,1.6853,49,2.4466,49
577969,0.815772,0.471491,0.5374,49,2.2435,49
577969,0.954639,0.551752,0.3864,49,2.2507,49
577969,1.11714,0.645675,0.3992,49,2.3097,49
577969,1.30731,0.755587,1.1802,49,2.3898,49
644947,0.815772,0.526130,0.6306,49,2.2474,49
644947,0.954639,0.615691,0.4042,49,2.2743,49
644947,1.11714,0.720499,0.4639,49,2.3340,49
644947,1.30731,0.843148,1.6884,49,2.7340,46
719686,0.697106,0.501697,1.2427,49,2.1718,49
719686,0.815772,0.587100,0.9784,49,2.1862,49
719686,0.954639,0.687040,0.4549,49,2.3011,49
719686,1.11714,0.803993,1.4063,49,2.4349,49
803086,0.595701,0.478399,1.9927,49,2.1333,49
803086,0.697106,0.559836,1.5818,49,2.1605,49
803086,0.815772,0.655135,1.1684,49,2.1999,49
803086,0.954639,0.766657,0.5944,49,2.3468,49
896151,0.595701,0.533838,1.5923,49,2.1608,49
896151,0.697106,0.624712,1.7059,49,2.1670,49
896151,0.815772,0.731055,0.6865,49,2.2804,49
1e+06,0.509047,0.509047,2.3564,49,2.1300,49
1e+06,0.595701,0.595701,1.8940,49,2.1687,49
1e+06,0.697106,0.697106,1.4544,49,2.2583,49
1e+06,0.815772,0.815772,0.8816,49,2.3936,49
1.11588e+06,0.434998,0.485408,2.2607,49,2.1181,49
1.11588e+06,0.509047,0.568037,2.3740,49,2.1430,49
1.11588e+06,0.595701,0.664733,2.1598,49,2.1921,49
1.11588e+06,0.697106,0.777889,1.1035,49,2.3469,49
1.2452e+06,0.434998,0.541659,2.7099,49,2.1071,49
1.2452e+06,0.509047,0.633864,2.4002,49,2.1513,49
1.2452e+06,0.595701,0.741765,1.5158,49,2.2849,49
1.3895e+06,0.371721,0.516505,2.8787,49,2.1009,49
1.3895e+06,0.434998,0.604428,2.7235,49,2.1214,49
1.3895e+06,0.509047,0.707319,2.4856,49,2.2095,49
1.3895e+06,0.595701,0.827724,0.7177,49,2.3890,49
1.55052e+06,0.317649,0.492519,2.5701,49,2.0916,49
1.55052e+06,0.371721,0.576360,2.7502,49,2.1114,49
1.55052e+06,0.434998,0.674472,2.1786,49,2.2022,49
1.55052e+06,0.509047,0.789286,1.3366,49,2.3331,49
1.7302e+06,0.271442,0.469647,2.9940,49,2.0855,49
1.7302e+06,0.317649,0.549594,3.0009,49,2.1252,49
1.7302e+06,0.371721,0.643150,2.7795,49,2.1565,49
1.7302e+06,0.434998,0.752632,1.7808,49,2.2828,49
1.9307e+06,0.271442,0.524072,3.2599,49,2.0982,49
1.9307e+06,0.317649,0.613283,3.0120,49,2.1195,49
1.9307e+06,0.371721,0.717681,2.4841,49,2.2176,49
1.9307e+06,0.434998,0.839850,2.3039,49,2.8180,49
2.15443e+06,0.231956,0.499735,3.3832,49,2.0815,49
2.15443e+06,0.271442,0.584804,3.1162,49,2.1191,49
2.15443e+06,0.317649,0.684353,2.6628,49,2.1985,49
2.15443e+06,0.371721,0.800849,1.1751,49,2.3435,49
2.4041e+06,0.198215,0.476528,3.2768,49,2.0841,49
2.4041e+06,0.231956,0.557646,3.0211,49,2.1008,49
2.4041e+06,0.271442,0.652573,2.8265,49,2.1691,49
2.4041e+06,0.317649,0.763659,1.9668,49,2.2905,49
2.6827e+06,0.198215,0.531750,3.0617,49,2.1163,49
2.6827e+06,0.231956,0.622268,2.7377,49,2.1307,49
2.6827e+06,0.271442,0.728196,2.2726,49,2.2395,49
2.99358e+06,0.169381,0.507056,3.4950,49,2.1111,49
2.99358e+06,0.198215,0.593371,3.2847,49,2.1590,49
2.99358e+06,0.231956,0.694379,2.7425,49,2.2329,49
2.99358e+06,0.271442,0.812582,1.3794,49,2.3787,49
3.34048e+06,0.144742,0.483509,3.5933,49,2.0991,49
3.34048e+06,0.169381,0.565816,3.4137,49,2.1113,49
3.34048e+06,0.198215,0.662133,2.7538,49,2.1962,49
3.34048e+06,0.231956,0.774847,1.7098,49,2.3339,49
3.72759e+06,0.144742,0.539540,3.4833,49,2.1219,49
3.72759e+06,0.169381,0.631385,3.0705,49,2.1809,49
3.72759e+06,0.198215,0.738864,2.2910,49,2.2778,49
4.15956e+06,0.123687,0.514485,3.4021,49,2.1220,49
4.15956e+06,0.144742,0.602064,3.0889,49,2.1586,49
4.15956e+06,0.169381,0.704552,2.5093,49,2.2574,49
4.15956e+06,0.198215,0.824487,1.7893,49,2.6038,49
4.64159e+06,0.105695,0.490593,3.6724,49,2.1234,49
4.64159e+06,0.123687,0.574106,3.2838,49,2.1832,49
4.64159e+06,0.144742,0.671834,2.5428,49,2.2362,49
4.64159e+06,0.169381,0.786199,1.4588,49,2.3852,49
5.17947e+06,0.105695,0.547445,3.1212,49,2.1861,49
5.17947e+06,0.123687,0.640635,2.5269,49,2.2269,49
5.17947e+06,0.144742,0.749689,1.7959,49,2.3579,49
5.77969e+06,0.0903201,0.522022,3.5225,49,2.1700,49
5.77969e+06,0.105695,0.610885,2.9397,49,2.2273,49
5.77969e+06,0.123687,0.714875,2.1962,49,2.2969,49
5.77969e+06,0.144742,0.836566,4.0189,49,3.0550,49
6.44947e+06,0.0771817,0.497781,3.7730,49,2.2175,49
6.44947e+06,0.0903201,0.582517,3.1892,49,2.2274,49
6.44947e+06,0.105695,0.681677,2.2592,49,2.3112,49
6.44947e+06,0.123687,0.797717,1.2331,49,2.4943,49
7.19686e+06,0.0659544,0.474664,3.7283,49,2.2641,49
7.19686e+06,0.0771817,0.555465,3.4551,49,2.2550,49
7.19686e+06,0.0903201,0.650021,2.7753,49,2.2936,49
7.19686e+06,0.105695,0.760672,1.5420,49,2.4260,49
8.03086e+06,0.0659544,0.529670,3.4587,49,2.2834,49
8.03086e+06,0.0771817,0.619835,2.7747,49,2.2848,49
8.03086e+06,0.0903201,0.725348,1.8873,49,2.4091,49
8.96151e+06,0.0563603,0.505073,3.5596,49,2.3438,49
8.96151e+06,0.0659544,0.591051,3.0477,49,2.3342,49
8.96151e+06,0.0771817,0.691664,2.1539,49,2.3871,49
8.96151e+06,0.0903201,0.809404,1.3250,49,2.6556,49
