axis,left_entry,right_entry,left_value,right_value,fixed_coordinate_1,fixed_coordinate_2,delta_ms,Delta_ms,b_s_mm2,correlation
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,7.0,25.0,500.0,0.8133881093099842
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,7.0,25.0,1000.0,0.7546914536950926
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,7.0,25.0,1500.0,0.6643939386352644
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,7.0,25.0,2000.0,0.6084169443866989
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,7.0,25.0,2500.0,0.5932275767769831
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,7.0,25.0,3000.0,0.6025618837290649
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,7.0,25.0,3500.0,0.6040153014565229
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,7.0,25.0,4000.0,0.5825675983226791
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,7.0,25.0,4500.0,0.5457149916594878
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,7.0,25.0,5000.0,0.5083370279748878
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,7.0,25.0,5500.0,0.4841844862988028
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,7.0,25.0,6000.0,0.4796659490018468
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,7.0,25.0,6500.0,0.49139959499549296
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,7.0,25.0,7000.0,0.5120878071730939
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,7.0,25.0,7500.0,0.5363662372755383
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,7.0,25.0,8000.0,0.5592607454258705
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,7.0,25.0,8500.0,0.57025367998701
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,7.0,25.0,9000.0,0.5513708899737606
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,7.0,25.0,9500.0,0.48982953110395105
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,7.0,25.0,10000.0,0.39717490739748185
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,7.0,25.0,10500.0,0.30372790285452755
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,7.0,25.0,11000.0,0.23635955057658817
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,7.0,25.0,11500.0,0.20855428462903441
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,7.0,25.0,12000.0,0.2200823576208507
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,10.0,30.0,0.0,
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,10.0,30.0,500.0,0.7883003083477115
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,10.0,30.0,1000.0,0.8455391761492251
