axis,stencil_width_k,stencil_row,left_entry,center_entry,right_entry,context_1,context_2,delta_ms,Delta_ms,b_s_mm2,derivative,variance_derivative,covariance_of_entry_means,beta
rho,1,0,15,18,21,19.0,6.2962652107424715,10.0,30.0,9500.0,0.00127842717748308,1.39038717444433e-06,1.06551673556813e-08,0.8507143604052546
rho,1,0,15,18,21,19.0,6.2962652107424715,10.0,30.0,10000.0,0.0010333444051416258,1.4032871568150108e-06,9.36569170739778e-09,1.314184575697305
rho,1,0,15,18,21,19.0,6.2962652107424715,10.0,30.0,10500.0,0.0009190989176321292,1.3986323425802746e-06,8.629709922279951e-09,1.655690121083635
rho,1,0,15,18,21,19.0,6.2962652107424715,10.0,30.0,11000.0,0.0008983588736563082,1.3855533069876929e-06,8.470739366396903e-09,1.716815064035814
rho,1,0,15,18,21,19.0,6.2962652107424715,10.0,30.0,11500.0,0.0009332433508989826,1.3863700154589076e-06,8.663899303304572e-09,1.5918031071027077
rho,1,0,15,18,21,19.0,6.2962652107424715,10.0,30.0,12000.0,0.0009922005750366881,1.4263822855674784e-06,8.849150471445471e-09,1.448895247299598
rho,1,0,15,18,21,19.0,6.2962652107424715,12.0,36.0,0.0,0.0,0.0,0.0,
rho,1,0,15,18,21,19.0,6.2962652107424715,12.0,36.0,500.0,0.20815650370474115,1.508729723953724e-06,3.519659551886302e-08,3.4820217316839134e-05
rho,1,0,15,18,21,19.0,6.2962652107424715,12.0,36.0,1000.0,0.18728091062354713,1.8859751600719365e-06,5.9439370790864e-08,5.377110280732841e-05
rho,1,0,15,18,21,19.0,6.2962652107424715,12.0,36.0,1500.0,0.1351282591813258,2.119835537981391e-06,5.492590404132026e-08,0.00011609400796343268
rho,1,0,15,18,21,19.0,6.2962652107424715,12.0,36.0,2000.0,0.09268027175866635,2.1299571808587466e-06,4.122200014513776e-08,0.00024796836338444633
rho,1,0,15,18,21,19.0,6.2962652107424715,12.0,36.0,2500.0,0.06368942481772272,1.9593199599691354e-06,2.8462137037182196e-08,0.0004830262234576148
rho,1,0,15,18,21,19.0,6.2962652107424715,12.0,36.0,3000.0,0.04482215345432509,1.8078161052071565e-06,1.8265252432373476e-08,0.0008998472935974568
rho,1,0,15,18,21,19.0,6.2962652107424715,12.0,36.0,3500.0,0.03258448392397257,1.7345998802218725e-06,1.0605830357703472e-08,0.0016337199713049584
rho,1,0,15,18,21,19.0,6.2962652107424715,12.0,36.0,4000.0,0.02449661221106825,1.69283288787932e-06,5.793735289319279e-09,0.0028209931612552504
rho,1,0,15,18,21,19.0,6.2962652107424715,12.0,36.0,4500.0,0.01898572023035564,1.6278187115351403e-06,4.030059507035816e-09,0.004515978675377916
rho,1,0,15,18,21,19.0,6.2962652107424715,12.0,36.0,5000.0,0.015096329428275268,1.5261890335942226e-06,4.734249937188112e-09,0.006696773339640119
rho,1,0,15,18,21,19.0,6.2962652107424715,12.0,36.0,5500.0,0.012254570261396206,1.4188667473825595e-06,6.664391513103186e-09,0.00944812082086795
rho,1,0,15,18,21,19.0,6.2962652107424715,12.0,36.0,6000.0,0.010112025005623913,1.3480787675285767e-06,8.667034551713037e-09,0.013183751206387878
rho,1,0,15,18,21,19.0,6.2962652107424715,12.0,36.0,6500.0,0.008451714106205203,1.3292679949824247e-06,1.025494395024174e-08,0.01860899642939045
rho,1,0,15,18,21,19.0,6.2962652107424715,12.0,36.0,7000.0,0.007134928710530093,1.3396981164611832e-06,1.1593372610959157e-08,0.026316472202556018
rho,1,0,15,18,21,19.0,6.2962652107424715,12.0,36.0,7500.0,0.006071621095072339,1.3379401674784117e-06,1.3083867661658321e-08,0.03629337615356575
rho,1,0,15,18,21,19.0,6.2962652107424715,12.0,36.0,8000.0,0.005202731370018584,1.293838933596413e-06,1.4945058615511805e-08,0.04779884582547651
rho,1,0,15,18,21,19.0,6.2962652107424715,12.0,36.0,8500.0,0.004488359279768494,1.2059643113624289e-06,1.7042741676943533e-08,0.05986310352065113
rho,1,0,15,18,21,19.0,6.2962652107424715,12.0,36.0,9000.0,0.003899640555799298,1.0981599438364234e-06,1.8979600521571585e-08,0.07221317528215736
rho,1,0,15,18,21,19.0,6.2962652107424715,12.0,36.0,9500.0,0.0034139075614087796,1.0028265312186954e-06,2.0302386110577434e-08,0.08604433853203369
rho,1,0,15,18,21,19.0,6.2962652107424715,12.0,36.0,10000.0,0.003012703380036157,9.443023229620116e-07,2.0677417214213035e-08,0.10403951252196603
rho,1,0,15,18,21,19.0,6.2962652107424715,12.0,36.0,10500.0,0.002681588494016284,9.309309858785637e-07,1.996976948930671e-08,0.1294592894253765
rho,1,0,15,18,21,19.0,6.2962652107424715,12.0,36.0,11000.0,0.002410360661920789,9.564050922194886e-07,1.8242756875735865e-08,0.16461818841246917
rho,1,0,15,18,21,19.0,6.2962652107424715,12.0,36.0,11500.0,0.0021926244576930213,1.0061047138998756e-06,1.5719253111855807e-08,0.20927371094559735
