delta_ms,Delta_ms,b_s_mm2,n,min,q05,q25,median,q75,q95,max,mean
5.0,15.0,8000.0,39,0.00013517690593666743,0.00015051776230099766,0.00017375401825622772,0.00018547096777343683,0.00019942981163079788,0.00022910985042274215,0.00024119063808572996,0.00018804731420355296
5.0,15.0,8500.0,39,0.00013462747940082645,0.00015297892569917992,0.00017463075555855165,0.00018408595548282598,0.00019600039952601583,0.00023061233898124088,0.00023866152306533452,0.0001864456358541308
5.0,15.0,9000.0,39,0.00013858365753261216,0.00014736844565130206,0.00017348636161476134,0.00018375118804444998,0.00020072140750450925,0.0002299018361077969,0.00023397722034279182,0.00018649559701649094
5.0,15.0,9500.0,39,0.00014407966832618652,0.00014942918202899365,0.00017082734665364635,0.00018373889870715543,0.00020769441054120842,0.00023045976920261542,0.00023162277224458478,0.00018814837325546252
5.0,15.0,10000.0,39,0.00013838420531109006,0.0001467406747681632,0.00016941273614755735,0.00018800902918582443,0.00021557433474704045,0.00022995340343121684,0.00024030583397937635,0.00019095204808139676
5.0,15.0,10500.0,39,0.00013674423767364715,0.00014705836522750258,0.0001711005843673763,0.00019454230705231123,0.000216971516490708,0.00023498096565847306,0.00024744779657443877,0.00019427639101711353
5.0,15.0,11000.0,39,0.00013968288669433617,0.00015135237768720554,0.00017239074181970646,0.00020143421228169394,0.00021693916994277012,0.00023859733771127816,0.0002526667031321443,0.00019755320946969273
5.0,15.0,11500.0,39,0.00014657565303836218,0.0001591316920083179,0.00017809661625663135,0.00020511534325990855,0.0002167753638104703,0.00024060460445298157,0.0002560669038877896,0.00020036500636565473
5.0,15.0,12000.0,39,0.0001560244135083082,0.000166248114569084,0.00018687288378406444,0.00020501786073894723,0.00021664750808247574,0.0002414334345904749,0.0002579721196761994,0.0002024773775285788
7.0,25.0,0.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,25.0,500.0,39,0.00019902417704451727,0.00019985762740306815,0.00024448181394580264,0.00028049437680000645,0.00035820755920898655,0.00044174741361401504,0.00044467423558004076,0.00030807099501305564
7.0,25.0,1000.0,39,0.0002529328083894392,0.00025902703531784804,0.0002946648851492729,0.00033270890288915746,0.0003994869947765145,0.0004947506760306619,0.0005160727298050574,0.0003585154223174873
7.0,25.0,1500.0,39,0.0002512415574119961,0.00026387446764334136,0.00029868431432265716,0.0003235940238038734,0.00035471102736616496,0.00044621177640942564,0.00046452544979696153,0.0003348104505164987
7.0,25.0,2000.0,39,0.00023282911576723414,0.0002503197939554252,0.0002761517218163561,0.0002943324627116261,0.0003070796098456185,0.00037523076762850085,0.00038654218288807125,0.0002979264003930381
7.0,25.0,2500.0,39,0.00021916188747113838,0.00023779681960658158,0.00025372950409918683,0.0002611321214609395,0.00027713968714108826,0.00031482192093961657,0.00031996549676495536,0.00026691013000477916
7.0,25.0,3000.0,39,0.0002069453352511526,0.00021992836729550975,0.00023525207573071887,0.000241448979992612,0.00025498228470341813,0.0002774978664707861,0.00028326587538034454,0.000246012156831057
7.0,25.0,3500.0,39,0.00017719732509197664,0.00019764087275283076,0.0002226813843003125,0.00023307216677172059,0.0002444713646467462,0.0002630918706609995,0.0002686773548839663,0.00023332065198905944
7.0,25.0,4000.0,39,0.0001589515764428876,0.00017601663411884197,0.00021530201990898896,0.0002275029009995892,0.00023816341518855682,0.00026387834620515265,0.0002671774701569876,0.00022512302862547277
7.0,25.0,4500.0,39,0.00015110868164437455,0.00016513757787371767,0.0002074491777833145,0.0002213012244853368,0.00023344811838146916,0.0002709133968781725,0.0002719321564096407,0.0002188892515676568
7.0,25.0,5000.0,39,0.00014901548857414613,0.00016160640586690257,0.00019769064649825815,0.00021235228268772828,0.0002273051559439346,0.0002752100063521805,0.00028130116918597125,0.00021391922195641012
7.0,25.0,5500.0,39,0.00014819014140116056,0.0001606858135910595,0.00019409539999138586,0.0002056127548873312,0.00022302923992399313,0.00027733774558394154,0.00028838335116980886,0.00021041658517179616
7.0,25.0,6000.0,39,0.00014680086515935523,0.00015988804815956722,0.00019198081231904744,0.00020515363199181315,0.00022028019296064022,0.0002762653048971307,0.00029157987886218787,0.00020839412202669632
7.0,25.0,6500.0,39,0.0001453385118742805,0.000159307201442464,0.00019115951516703028,0.0002026572998776174,0.0002182274482010554,0.0002720206345061079,0.0002907079198365286,0.00020735832747553805
7.0,25.0,7000.0,39,0.0001451420954555718,0.00015999760802268414,0.0001919803153057415,0.00020492633037553847,0.00021902586804535171,0.00026540867356052226,0.00028652980771914704,0.00020670320657420777
7.0,25.0,7500.0,39,0.0001470235575375112,0.00016236136676741546,0.00019310055161863166,0.00020293232339055317,0.00021767088871243307,0.00025761482048582693,0.0002801911635282153,0.00020611131074824005
7.0,25.0,8000.0,39,0.0001506385582518364,0.00016560016651413675,0.00019017982549568945,0.00020489013541659983,0.00021879072485638424,0.00024908686337057244,0.0002727456546667926,0.00020560765774656396
7.0,25.0,8500.0,39,0.00015477749639942258,0.00016122333938994334,0.00019027498202755833,0.00020787025309590318,0.00022102338830841053,0.000245651328654497,0.000264939581968099,0.00020536999307837076
7.0,25.0,9000.0,39,0.0001497129197290605,0.00016196216387045397,0.00018669860937742925,0.0002084571435954093,0.0002228123786180382,0.0002467191920207544,0.00025725118310648327,0.00020551358776616324
